"","from","from.lat","from.lon","to","to.lat","to.lon","percent"
"1","ABE",40.652099609375,-75.440803527832,"ATL",33.6366996765137,-84.4281005859375,15.9090909090909
"2","ABE",40.652099609375,-75.440803527832,"CLE",41.4117012024,-81.8498001099,2.17391304347826
"3","ABE",40.652099609375,-75.440803527832,"CLT",35.2140007019043,-80.9430999755859,1.72413793103448
"4","ABE",40.652099609375,-75.440803527832,"DTW",42.2123985290527,-83.353401184082,7.05882352941176
"5","ABE",40.652099609375,-75.440803527832,"ORD",41.97859955,-87.90480042,12.5874125874126
"6","ABI",32.4113006592,-99.6819000244,"DFW",32.896800994873,-97.0380020141602,8.92018779342723
"7","ABQ",35.0401992797852,-106.609001159668,"AMA",35.2193984985352,-101.706001281738,12.9032258064516
"8","ABQ",35.0401992797852,-106.609001159668,"ATL",33.6366996765137,-84.4281005859375,11.2359550561798
"9","ABQ",35.0401992797852,-106.609001159668,"BWI",39.17539978,-76.66829681,11.2903225806452
"10","ABQ",35.0401992797852,-106.609001159668,"DAL",32.8470993041992,-96.8517990112305,9.54198473282443
"11","ABQ",35.0401992797852,-106.609001159668,"DEN",39.861698150635,-104.672996521,7.59493670886076
"12","ABQ",35.0401992797852,-106.609001159668,"DFW",32.896800994873,-97.0380020141602,5.73770491803279
"13","ABQ",35.0401992797852,-106.609001159668,"ELP",31.80719948,-106.3779984,5.17241379310345
"14","ABQ",35.0401992797852,-106.609001159668,"HOU",29.64539909,-95.27890015,5.61797752808989
"15","ABQ",35.0401992797852,-106.609001159668,"IAD",38.94449997,-77.45580292,3.2258064516129
"16","ABQ",35.0401992797852,-106.609001159668,"IAH",29.9843997955322,-95.3414001464844,8
"17","ABQ",35.0401992797852,-106.609001159668,"LAS",36.08010101,-115.1520004,8.33333333333333
"18","ABQ",35.0401992797852,-106.609001159668,"LAX",33.94250107,-118.4079971,19.5979899497487
"19","ABQ",35.0401992797852,-106.609001159668,"LBB",33.6636009216309,-101.822998046875,6.45161290322581
"20","ABQ",35.0401992797852,-106.609001159668,"MAF",31.9424991607666,-102.202003479004,9.67741935483871
"21","ABQ",35.0401992797852,-106.609001159668,"MCI",39.2976,-94.713898,8.62068965517241
"22","ABQ",35.0401992797852,-106.609001159668,"MCO",28.4293994903564,-81.3089981079102,4.83870967741935
"23","ABQ",35.0401992797852,-106.609001159668,"MDW",41.7859992980957,-87.7524032592773,4.83870967741935
"24","ABQ",35.0401992797852,-106.609001159668,"MSP",44.8819999695,-93.2218017578,8.06451612903226
"25","ABQ",35.0401992797852,-106.609001159668,"OAK",37.7212982177734,-122.221000671387,6.74157303370786
"26","ABQ",35.0401992797852,-106.609001159668,"ORD",41.97859955,-87.90480042,12.8571428571429
"27","ABQ",35.0401992797852,-106.609001159668,"PDX",45.58869934,-122.5979996,12.9032258064516
"28","ABQ",35.0401992797852,-106.609001159668,"PHX",33.4342994689941,-112.012001037598,4.95283018867925
"29","ABQ",35.0401992797852,-106.609001159668,"SAN",32.7336006165,-117.190002441,10.7142857142857
"30","ABQ",35.0401992797852,-106.609001159668,"SEA",47.4490013122559,-122.30899810791,12.9032258064516
"31","ABQ",35.0401992797852,-106.609001159668,"SFO",37.6189994812012,-122.375,3.7037037037037
"32","ABQ",35.0401992797852,-106.609001159668,"SLC",40.7883987426758,-111.977996826172,8.02139037433155
"34","ABQ",35.0401992797852,-106.609001159668,"TPA",27.9755001068115,-82.533203125,22.5806451612903
"35","ABQ",35.0401992797852,-106.609001159668,"TUS",32.1161003112793,-110.94100189209,6.89655172413793
"36","ABY",31.5354995727539,-84.1945037841797,"ATL",33.6366996765137,-84.4281005859375,17.9775280898876
"37","ACT",31.6112995147705,-97.2304992675781,"DFW",32.896800994873,-97.0380020141602,11.2903225806452
"38","ACV",40.978099822998,-124.109001159668,"CEC",41.78020096,-124.2369995,16.1290322580645
"39","ACV",40.978099822998,-124.109001159668,"SFO",37.6189994812012,-122.375,30.939226519337
"40","ACV",40.978099822998,-124.109001159668,"SLC",40.7883987426758,-111.977996826172,1.72413793103448
"41","ACV",40.978099822998,-124.109001159668,"SMF",38.6954002380371,-121.591003417969,5.55555555555556
"42","ADK",51.8779983520508,-176.64599609375,"ANC",61.1744003295898,-149.996002197266,44.4444444444444
"43","ADQ",57.75,-152.4940033,"ANC",61.1744003295898,-149.996002197266,18.3333333333333
"44","AEX",31.3274002075195,-92.5497970581055,"ATL",33.6366996765137,-84.4281005859375,11.3636363636364
"45","AEX",31.3274002075195,-92.5497970581055,"DFW",32.896800994873,-97.0380020141602,8.06451612903226
"47","AGS",33.3698997497559,-81.9645004272461,"ATL",33.6366996765137,-84.4281005859375,12.3348017621145
"48","ALB",42.7482986450195,-73.8016967773438,"ATL",33.6366996765137,-84.4281005859375,26.9662921348315
"49","ALB",42.7482986450195,-73.8016967773438,"BWI",39.17539978,-76.66829681,6.17977528089888
"50","ALB",42.7482986450195,-73.8016967773438,"CLE",41.4117012024,-81.8498001099,11.1111111111111
"51","ALB",42.7482986450195,-73.8016967773438,"CLT",35.2140007019043,-80.9430999755859,4.65116279069767
"52","ALB",42.7482986450195,-73.8016967773438,"CVG",39.0488014221,-84.6678009033,8.88888888888889
"54","ALB",42.7482986450195,-73.8016967773438,"DTW",42.2123985290527,-83.353401184082,2.1505376344086
"55","ALB",42.7482986450195,-73.8016967773438,"EWR",40.6925010681152,-74.168701171875,43.75
"57","ALB",42.7482986450195,-73.8016967773438,"MCO",28.4293994903564,-81.3089981079102,6.45161290322581
"58","ALB",42.7482986450195,-73.8016967773438,"MDW",41.7859992980957,-87.7524032592773,4.83870967741935
"59","ALB",42.7482986450195,-73.8016967773438,"ORD",41.97859955,-87.90480042,8.59375
"60","ALB",42.7482986450195,-73.8016967773438,"PHL",39.871898651123,-75.241096496582,5.17241379310345
"64","AMA",35.2193984985352,-101.706001281738,"DAL",32.8470993041992,-96.8517990112305,7.01754385964912
"65","AMA",35.2193984985352,-101.706001281738,"DEN",39.861698150635,-104.672996521,12.9032258064516
"66","AMA",35.2193984985352,-101.706001281738,"DFW",32.896800994873,-97.0380020141602,13.9344262295082
"67","AMA",35.2193984985352,-101.706001281738,"IAH",29.9843997955322,-95.3414001464844,8.75
"68","AMA",35.2193984985352,-101.706001281738,"LAS",36.08010101,-115.1520004,19.3548387096774
"69","ANC",61.1744003295898,-149.996002197266,"ADK",51.8779983520508,-176.64599609375,22.2222222222222
"70","ANC",61.1744003295898,-149.996002197266,"ADQ",57.75,-152.4940033,16.6666666666667
"71","ANC",61.1744003295898,-149.996002197266,"BET",60.77980042,-161.8379974,17.9775280898876
"72","ANC",61.1744003295898,-149.996002197266,"CDV",60.4917984,-145.4779968,32.258064516129
"73","ANC",61.1744003295898,-149.996002197266,"FAI",64.81510162,-147.8560028,11.0671936758893
"74","ANC",61.1744003295898,-149.996002197266,"HNL",21.3187007904053,-157.921997070312,28.5714285714286
"75","ANC",61.1744003295898,-149.996002197266,"JNU",58.3549995422363,-134.57600402832,19.3548387096774
"76","ANC",61.1744003295898,-149.996002197266,"MSP",44.8819999695,-93.2218017578,6.45161290322581
"78","ANC",61.1744003295898,-149.996002197266,"OME",64.5121994018555,-165.445007324219,12.9032258064516
"79","ANC",61.1744003295898,-149.996002197266,"ORD",41.97859955,-87.90480042,3.2258064516129
"80","ANC",61.1744003295898,-149.996002197266,"OTZ",66.88469696,-162.598999,17.741935483871
"81","ANC",61.1744003295898,-149.996002197266,"PDX",45.58869934,-122.5979996,6.45161290322581
"82","ANC",61.1744003295898,-149.996002197266,"PHX",33.4342994689941,-112.012001037598,6.45161290322581
"83","ANC",61.1744003295898,-149.996002197266,"SCC",70.19470215,-148.4649963,22.5806451612903
"84","ANC",61.1744003295898,-149.996002197266,"SEA",47.4490013122559,-122.30899810791,12.6865671641791
"85","ANC",61.1744003295898,-149.996002197266,"SLC",40.7883987426758,-111.977996826172,3.2258064516129
"86","ASE",39.22320175,-106.8690033,"DEN",39.861698150635,-104.672996521,10.655737704918
"87","ATL",33.6366996765137,-84.4281005859375,"ABE",40.652099609375,-75.440803527832,12.5
"88","ATL",33.6366996765137,-84.4281005859375,"ABQ",35.0401992797852,-106.609001159668,22.7272727272727
"89","ATL",33.6366996765137,-84.4281005859375,"ABY",31.5354995727539,-84.1945037841797,8.98876404494382
"90","ATL",33.6366996765137,-84.4281005859375,"AEX",31.3274002075195,-92.5497970581055,11.3636363636364
"91","ATL",33.6366996765137,-84.4281005859375,"AGS",33.3698997497559,-81.9645004272461,12.7753303964758
"92","ATL",33.6366996765137,-84.4281005859375,"ALB",42.7482986450195,-73.8016967773438,23.5955056179775
"93","ATL",33.6366996765137,-84.4281005859375,"ATW",44.2580986023,-88.5190963745,11.1111111111111
"94","ATL",33.6366996765137,-84.4281005859375,"AUS",30.1944999694824,-97.6698989868164,15.8974358974359
"95","ATL",33.6366996765137,-84.4281005859375,"AVL",35.4361991882324,-82.5418014526367,17.3913043478261
"96","ATL",33.6366996765137,-84.4281005859375,"AVP",41.3385009766,-75.7233963013,22.5806451612903
"97","ATL",33.6366996765137,-84.4281005859375,"BDL",41.9388999939,-72.6831970215,13.8461538461538
"98","ATL",33.6366996765137,-84.4281005859375,"BHM",33.56290054,-86.75350189,15.2542372881356
"99","ATL",33.6366996765137,-84.4281005859375,"BMI",40.47710037,-88.91590118,19.7183098591549
"100","ATL",33.6366996765137,-84.4281005859375,"BNA",36.1245002746582,-86.6781997680664,16.1172161172161
"101","ATL",33.6366996765137,-84.4281005859375,"BOS",42.36429977,-71.00520325,17.5373134328358
"102","ATL",33.6366996765137,-84.4281005859375,"BQK",31.2588005065918,-81.4664993286133,6.25
"103","ATL",33.6366996765137,-84.4281005859375,"BTR",30.53319931,-91.14959717,20.5741626794258
"104","ATL",33.6366996765137,-84.4281005859375,"BTV",44.4719009399,-73.1532974243,18
"105","ATL",33.6366996765137,-84.4281005859375,"BUF",42.94049835,-78.73220062,11.3207547169811
"106","ATL",33.6366996765137,-84.4281005859375,"BWI",39.17539978,-76.66829681,12.3791102514507
"107","ATL",33.6366996765137,-84.4281005859375,"CAE",33.9388008117676,-81.119499206543,15.748031496063
"108","ATL",33.6366996765137,-84.4281005859375,"CAK",40.9160995483398,-81.4421997070312,14.5896656534954
"109","ATL",33.6366996765137,-84.4281005859375,"CHA",35.0353012084961,-85.2037963867188,21.078431372549
"110","ATL",33.6366996765137,-84.4281005859375,"CHO",38.138599395752,-78.4529037475586,16.1290322580645
"111","ATL",33.6366996765137,-84.4281005859375,"CHS",32.89860153,-80.04049683,14.8780487804878
"112","ATL",33.6366996765137,-84.4281005859375,"CID",41.8847007751465,-91.7108001708984,12.9032258064516
"113","ATL",33.6366996765137,-84.4281005859375,"CLE",41.4117012024,-81.8498001099,17.0305676855895
"114","ATL",33.6366996765137,-84.4281005859375,"CLT",35.2140007019043,-80.9430999755859,12.406015037594
"115","ATL",33.6366996765137,-84.4281005859375,"CMH",39.9980010986328,-82.8918991088867,12.2641509433962
"116","ATL",33.6366996765137,-84.4281005859375,"COS",38.805801391602,-104.70099639893,25.8064516129032
"117","ATL",33.6366996765137,-84.4281005859375,"CRW",38.3731002807617,-81.5932006835938,10.958904109589
"118","ATL",33.6366996765137,-84.4281005859375,"CSG",32.516300201416,-84.9389038085938,16.0839160839161
"119","ATL",33.6366996765137,-84.4281005859375,"CVG",39.0488014221,-84.6678009033,13.9130434782609
"120","ATL",33.6366996765137,-84.4281005859375,"DAB",29.179899,-81.058098,25.1655629139073
"121","ATL",33.6366996765137,-84.4281005859375,"DAY",39.902400970459,-84.2193984985352,11.5107913669065
"122","ATL",33.6366996765137,-84.4281005859375,"DCA",38.8521,-77.037697,13.0148270181219
"123","ATL",33.6366996765137,-84.4281005859375,"DEN",39.861698150635,-104.672996521,11.9638826185102
"124","ATL",33.6366996765137,-84.4281005859375,"DFW",32.896800994873,-97.0380020141602,11.8937644341801
"125","ATL",33.6366996765137,-84.4281005859375,"DHN",31.3213005065918,-85.4496002197266,21.6666666666667
"126","ATL",33.6366996765137,-84.4281005859375,"DSM",41.5340003967285,-93.6631011962891,12.3595505617978
"127","ATL",33.6366996765137,-84.4281005859375,"DTW",42.2123985290527,-83.353401184082,10.2783725910064
"128","ATL",33.6366996765137,-84.4281005859375,"ELP",31.80719948,-106.3779984,12.280701754386
"129","ATL",33.6366996765137,-84.4281005859375,"EVV",38.0369987488,-87.5324020386,16.8539325842697
"130","ATL",33.6366996765137,-84.4281005859375,"EWN",35.0730018616,-77.0429000854,9.67741935483871
"131","ATL",33.6366996765137,-84.4281005859375,"EWR",40.6925010681152,-74.168701171875,29.7134238310709
"132","ATL",33.6366996765137,-84.4281005859375,"EYW",24.5561008453369,-81.7595977783203,25
"133","ATL",33.6366996765137,-84.4281005859375,"FAY",34.9911994934082,-78.8803024291992,14.5
"134","ATL",33.6366996765137,-84.4281005859375,"FLL",26.0725994110107,-80.152702331543,12.1019108280255
"135","ATL",33.6366996765137,-84.4281005859375,"FLO",34.1853981018066,-79.7238998413086,15.0943396226415
"136","ATL",33.6366996765137,-84.4281005859375,"FNT",42.9654006958008,-83.7435989379883,13.5849056603774
"137","ATL",33.6366996765137,-84.4281005859375,"FSM",35.3366012573242,-94.3674011230469,6.66666666666667
"138","ATL",33.6366996765137,-84.4281005859375,"FWA",40.97850037,-85.19509888,7.60869565217391
"139","ATL",33.6366996765137,-84.4281005859375,"GNV",29.6900997162,-82.2717971802,12.3595505617978
"140","ATL",33.6366996765137,-84.4281005859375,"GPT",30.4073009490967,-89.0700988769531,19.5571955719557
"141","ATL",33.6366996765137,-84.4281005859375,"GRK",31.067199707,-97.8289031982,16.6666666666667
"142","ATL",33.6366996765137,-84.4281005859375,"GRR",42.88079834,-85.52279663,10.4347826086957
"143","ATL",33.6366996765137,-84.4281005859375,"GSO",36.0978012084961,-79.9373016357422,13.6752136752137
"144","ATL",33.6366996765137,-84.4281005859375,"GSP",34.8956985474,-82.2189025879,18.1818181818182
"145","ATL",33.6366996765137,-84.4281005859375,"GTR",33.4502983093,-88.5914001465,8.23529411764706
"146","ATL",33.6366996765137,-84.4281005859375,"HHH",32.2243995667,-80.6975021362,24.1935483870968
"147","ATL",33.6366996765137,-84.4281005859375,"HNL",21.3187007904053,-157.921997070312,14.5833333333333
"148","ATL",33.6366996765137,-84.4281005859375,"HOU",29.64539909,-95.27890015,11.660777385159
"149","ATL",33.6366996765137,-84.4281005859375,"HPN",41.0670013427734,-73.7076034545898,12.4293785310734
"150","ATL",33.6366996765137,-84.4281005859375,"HSV",34.637199401855,-86.775100708008,17.5213675213675
"151","ATL",33.6366996765137,-84.4281005859375,"IAD",38.94449997,-77.45580292,13.8429752066116
"152","ATL",33.6366996765137,-84.4281005859375,"IAH",29.9843997955322,-95.3414001464844,15.2424942263279
"153","ATL",33.6366996765137,-84.4281005859375,"ICT",37.6498985290527,-97.4330978393555,18.8888888888889
