"","from","from.lat","from.lon","to","to.lat","to.lon","percent"
"1","ABE",40.652099609375,-75.440803527832,"ATL",33.6366996765137,-84.4281005859375,27.027027027027
"2","ABE",40.652099609375,-75.440803527832,"CLE",41.4117012024,-81.8498001099,10.3896103896104
"3","ABE",40.652099609375,-75.440803527832,"CLT",35.2140007019043,-80.9430999755859,1.72413793103448
"4","ABE",40.652099609375,-75.440803527832,"DTW",42.2123985290527,-83.353401184082,17.2839506172839
"5","ABE",40.652099609375,-75.440803527832,"ORD",41.97859955,-87.90480042,34.7826086956522
"6","ABI",32.4113006592,-99.6819000244,"DFW",32.896800994873,-97.0380020141602,12.6760563380282
"7","ABQ",35.0401992797852,-106.609001159668,"AMA",35.2193984985352,-101.706001281738,54.8387096774194
"8","ABQ",35.0401992797852,-106.609001159668,"ATL",33.6366996765137,-84.4281005859375,18.3908045977011
"9","ABQ",35.0401992797852,-106.609001159668,"BWI",39.17539978,-76.66829681,23.5294117647059
"10","ABQ",35.0401992797852,-106.609001159668,"DAL",32.8470993041992,-96.8517990112305,32.3404255319149
"11","ABQ",35.0401992797852,-106.609001159668,"DEN",39.861698150635,-104.672996521,22.4543080939948
"12","ABQ",35.0401992797852,-106.609001159668,"DFW",32.896800994873,-97.0380020141602,15.1639344262295
"13","ABQ",35.0401992797852,-106.609001159668,"ELP",31.80719948,-106.3779984,42.3728813559322
"14","ABQ",35.0401992797852,-106.609001159668,"HOU",29.64539909,-95.27890015,37.3493975903614
"15","ABQ",35.0401992797852,-106.609001159668,"IAD",38.94449997,-77.45580292,19.3548387096774
"16","ABQ",35.0401992797852,-106.609001159668,"IAH",29.9843997955322,-95.3414001464844,16.2790697674419
"17","ABQ",35.0401992797852,-106.609001159668,"LAS",36.08010101,-115.1520004,25.7425742574257
"18","ABQ",35.0401992797852,-106.609001159668,"LAX",33.94250107,-118.4079971,35.5
"19","ABQ",35.0401992797852,-106.609001159668,"LBB",33.6636009216309,-101.822998046875,29.0322580645161
"20","ABQ",35.0401992797852,-106.609001159668,"MAF",31.9424991607666,-102.202003479004,61.2903225806452
"21","ABQ",35.0401992797852,-106.609001159668,"MCI",39.2976,-94.713898,31.4814814814815
"22","ABQ",35.0401992797852,-106.609001159668,"MCO",28.4293994903564,-81.3089981079102,35.4838709677419
"23","ABQ",35.0401992797852,-106.609001159668,"MDW",41.7859992980957,-87.7524032592773,32.258064516129
"24","ABQ",35.0401992797852,-106.609001159668,"MSP",44.8819999695,-93.2218017578,34.0425531914894
"25","ABQ",35.0401992797852,-106.609001159668,"OAK",37.7212982177734,-122.221000671387,38.5542168674699
"26","ABQ",35.0401992797852,-106.609001159668,"ORD",41.97859955,-87.90480042,32.8125
"27","ABQ",35.0401992797852,-106.609001159668,"PDX",45.58869934,-122.5979996,22.5806451612903
"28","ABQ",35.0401992797852,-106.609001159668,"PHX",33.4342994689941,-112.012001037598,23.5565819861432
