"","from","from.lat","from.lon","to","to.lat","to.lon","percent"
"1","ABE",40.652099609375,-75.440803527832,"ATL",33.6366996765137,-84.4281005859375,16.1290322580645
"2","ABE",40.652099609375,-75.440803527832,"CLE",41.4117012024,-81.8498001099,5.88235294117647
"4","ABE",40.652099609375,-75.440803527832,"CVG",39.0488014221,-84.6678009033,6.45161290322581
"5","ABE",40.652099609375,-75.440803527832,"DTW",42.2123985290527,-83.353401184082,5.61797752808989
"6","ABE",40.652099609375,-75.440803527832,"LGA",40.77719879,-73.87259674,100
"7","ABE",40.652099609375,-75.440803527832,"ORD",41.97859955,-87.90480042,16.1016949152542
"8","ABI",32.4113006592,-99.6819000244,"DFW",32.896800994873,-97.0380020141602,12.7659574468085
"9","ABQ",35.0401992797852,-106.609001159668,"AMA",35.2193984985352,-101.706001281738,32.258064516129
"10","ABQ",35.0401992797852,-106.609001159668,"ATL",33.6366996765137,-84.4281005859375,4.44444444444444
"11","ABQ",35.0401992797852,-106.609001159668,"AUS",30.1944999694824,-97.6698989868164,19.5652173913043
"12","ABQ",35.0401992797852,-106.609001159668,"BWI",39.17539978,-76.66829681,18.0327868852459
"14","ABQ",35.0401992797852,-106.609001159668,"CVG",39.0488014221,-84.6678009033,22.5806451612903
"15","ABQ",35.0401992797852,-106.609001159668,"DAL",32.8470993041992,-96.8517990112305,19.2452830188679
"16","ABQ",35.0401992797852,-106.609001159668,"DEN",39.861698150635,-104.672996521,14.4893111638955
"17","ABQ",35.0401992797852,-106.609001159668,"DFW",32.896800994873,-97.0380020141602,14.5748987854251
"18","ABQ",35.0401992797852,-106.609001159668,"ELP",31.80719948,-106.3779984,27.1186440677966
"19","ABQ",35.0401992797852,-106.609001159668,"EWR",40.6925010681152,-74.168701171875,9.67741935483871
"20","ABQ",35.0401992797852,-106.609001159668,"HOU",29.64539909,-95.27890015,17.4418604651163
"21","ABQ",35.0401992797852,-106.609001159668,"IAD",38.94449997,-77.45580292,6.45161290322581
"22","ABQ",35.0401992797852,-106.609001159668,"IAH",29.9843997955322,-95.3414001464844,14.4859813084112
"23","ABQ",35.0401992797852,-106.609001159668,"LAS",36.08010101,-115.1520004,13.9303482587065
"24","ABQ",35.0401992797852,-106.609001159668,"LAX",33.94250107,-118.4079971,24.6305418719212
"25","ABQ",35.0401992797852,-106.609001159668,"LBB",33.6636009216309,-101.822998046875,9.67741935483871
"26","ABQ",35.0401992797852,-106.609001159668,"MAF",31.9424991607666,-102.202003479004,34.375
"27","ABQ",35.0401992797852,-106.609001159668,"MCI",39.2976,-94.713898,14.2857142857143
"28","ABQ",35.0401992797852,-106.609001159668,"MCO",28.4293994903564,-81.3089981079102,6.55737704918033
"29","ABQ",35.0401992797852,-106.609001159668,"MDW",41.7859992980957,-87.7524032592773,9.67741935483871
"30","ABQ",35.0401992797852,-106.609001159668,"MSP",44.8819999695,-93.2218017578,4.83870967741935
"31","ABQ",35.0401992797852,-106.609001159668,"OAK",37.7212982177734,-122.221000671387,17.0454545454545
"32","ABQ",35.0401992797852,-106.609001159668,"OKC",35.3931007385254,-97.600700378418,35
"33","ABQ",35.0401992797852,-106.609001159668,"ONT",34.0559997558594,-117.600997924805,11.3207547169811
"34","ABQ",35.0401992797852,-106.609001159668,"ORD",41.97859955,-87.90480042,11.340206185567
"35","ABQ",35.0401992797852,-106.609001159668,"PDX",45.58869934,-122.5979996,22.5806451612903
"36","ABQ",35.0401992797852,-106.609001159668,"PHX",33.4342994689941,-112.012001037598,15.9453302961276
"37","ABQ",35.0401992797852,-106.609001159668,"SAN",32.7336006165,-117.190002441,14.9425287356322
"38","ABQ",35.0401992797852,-106.609001159668,"SAT",29.5337009429932,-98.4698028564453,13.6363636363636
"39","ABQ",35.0401992797852,-106.609001159668,"SEA",47.4490013122559,-122.30899810791,30.6451612903226
"40","ABQ",35.0401992797852,-106.609001159668,"SFO",37.6189994812012,-122.375,5.35714285714286
"41","ABQ",35.0401992797852,-106.609001159668,"SLC",40.7883987426758,-111.977996826172,11.8811881188119
"42","ABQ",35.0401992797852,-106.609001159668,"SMF",38.6954002380371,-121.591003417969,10.2040816326531
"43","ABQ",35.0401992797852,-106.609001159668,"STL",38.7486991882324,-90.370002746582,6.45161290322581
