"","from","from.lat","from.lon","to","to.lat","to.lon","percent"
"68","ALB",42.7482986450195,-73.8016967773438,"LAS",36.08010101,-115.1520004,6.66666666666667
"69","ALB",42.7482986450195,-73.8016967773438,"MCO",28.4293994903564,-81.3089981079102,5
"70","ALB",42.7482986450195,-73.8016967773438,"MDW",41.7859992980957,-87.7524032592773,8.33333333333333
"71","ALB",42.7482986450195,-73.8016967773438,"ORD",41.97859955,-87.90480042,12.3376623376623
"72","ALB",42.7482986450195,-73.8016967773438,"PHL",39.871898651123,-75.241096496582,26.4150943396226
"73","ALB",42.7482986450195,-73.8016967773438,"TPA",27.9755001068115,-82.533203125,3.33333333333333
"74","ALO",42.5570983886719,-92.4002990722656,"MSP",44.8819999695,-93.2218017578,3.84615384615385
"75","AMA",35.2193984985352,-101.706001281738,"ABQ",35.0401992797852,-106.609001159668,3.33333333333333
"76","AMA",35.2193984985352,-101.706001281738,"DAL",32.8470993041992,-96.8517990112305,5.47945205479452
"77","AMA",35.2193984985352,-101.706001281738,"DEN",39.861698150635,-104.672996521,10
"78","AMA",35.2193984985352,-101.706001281738,"DFW",32.896800994873,-97.0380020141602,12.7118644067797
"79","AMA",35.2193984985352,-101.706001281738,"IAH",29.9843997955322,-95.3414001464844,10.2941176470588
"80","AMA",35.2193984985352,-101.706001281738,"LAS",36.08010101,-115.1520004,6.66666666666667
"81","ANC",61.1744003295898,-149.996002197266,"ADK",51.8779983520508,-176.64599609375,25
"82","ANC",61.1744003295898,-149.996002197266,"ADQ",57.75,-152.4940033,1.66666666666667
"83","ANC",61.1744003295898,-149.996002197266,"AKN",58.67679977,-156.6490021,46.1538461538462
"84","ANC",61.1744003295898,-149.996002197266,"ATL",33.6366996765137,-84.4281005859375,25
"85","ANC",61.1744003295898,-149.996002197266,"BET",60.77980042,-161.8379974,8.13953488372093
"86","ANC",61.1744003295898,-149.996002197266,"CDV",60.4917984,-145.4779968,30
"87","ANC",61.1744003295898,-149.996002197266,"DEN",39.861698150635,-104.672996521,28.5714285714286
"88","ANC",61.1744003295898,-149.996002197266,"DFW",32.896800994873,-97.0380020141602,13.3333333333333
"89","ANC",61.1744003295898,-149.996002197266,"FAI",64.81510162,-147.8560028,11.2
"90","ANC",61.1744003295898,-149.996002197266,"HNL",21.3187007904053,-157.921997070312,37.5
"91","ANC",61.1744003295898,-149.996002197266,"IAH",29.9843997955322,-95.3414001464844,33.3333333333333
"92","ANC",61.1744003295898,-149.996002197266,"JNU",58.3549995422363,-134.57600402832,11.1111111111111
"93","ANC",61.1744003295898,-149.996002197266,"LAS",36.08010101,-115.1520004,27.7777777777778
"94","ANC",61.1744003295898,-149.996002197266,"LAX",33.94250107,-118.4079971,16.6666666666667
"95","ANC",61.1744003295898,-149.996002197266,"MSP",44.8819999695,-93.2218017578,4.05405405405405
"96","ANC",61.1744003295898,-149.996002197266,"OME",64.5121994018555,-165.445007324219,10
"97","ANC",61.1744003295898,-149.996002197266,"ORD",41.97859955,-87.90480042,6.25
"98","ANC",61.1744003295898,-149.996002197266,"OTZ",66.88469696,-162.598999,20
"99","ANC",61.1744003295898,-149.996002197266,"PDX",45.58869934,-122.5979996,15.2542372881356
"100","ANC",61.1744003295898,-149.996002197266,"PHX",33.4342994689941,-112.012001037598,6.66666666666667
"101","ANC",61.1744003295898,-149.996002197266,"SCC",70.19470215,-148.4649963,13.3333333333333
"102","ANC",61.1744003295898,-149.996002197266,"SEA",47.4490013122559,-122.30899810791,11.9584055459272
"104","ANC",61.1744003295898,-149.996002197266,"SLC",40.7883987426758,-111.977996826172,8.10810810810811
"105","ASE",39.22320175,-106.8690033,"DEN",39.861698150635,-104.672996521,12.5874125874126
"107","ATL",33.6366996765137,-84.4281005859375,"ABE",40.652099609375,-75.440803527832,10.7142857142857
"108","ATL",33.6366996765137,-84.4281005859375,"ABQ",35.0401992797852,-106.609001159668,13.4146341463415
"109","ATL",33.6366996765137,-84.4281005859375,"ABY",31.5354995727539,-84.1945037841797,3.48837209302326
"110","ATL",33.6366996765137,-84.4281005859375,"AEX",31.3274002075195,-92.5497970581055,8.33333333333333
"111","ATL",33.6366996765137,-84.4281005859375,"AGS",33.3698997497559,-81.9645004272461,18.348623853211
"112","ATL",33.6366996765137,-84.4281005859375,"ALB",42.7482986450195,-73.8016967773438,18.6046511627907
"113","ATL",33.6366996765137,-84.4281005859375,"ANC",61.1744003295898,-149.996002197266,25
"114","ATL",33.6366996765137,-84.4281005859375,"ATW",44.2580986023,-88.5190963745,13.7254901960784
"115","ATL",33.6366996765137,-84.4281005859375,"AUS",30.1944999694824,-97.6698989868164,9.09090909090909
"116","ATL",33.6366996765137,-84.4281005859375,"AVL",35.4361991882324,-82.5418014526367,15.625
"117","ATL",33.6366996765137,-84.4281005859375,"AVP",41.3385009766,-75.7233963013,13.3333333333333
"118","ATL",33.6366996765137,-84.4281005859375,"BDL",41.9388999939,-72.6831970215,8.51063829787234
"119","ATL",33.6366996765137,-84.4281005859375,"BGR",44.8073997497559,-68.8281021118164,30
"120","ATL",33.6366996765137,-84.4281005859375,"BHM",33.56290054,-86.75350189,19.6428571428571
"121","ATL",33.6366996765137,-84.4281005859375,"BMI",40.47710037,-88.91590118,16.9902912621359
"122","ATL",33.6366996765137,-84.4281005859375,"BNA",36.1245002746582,-86.6781997680664,11.5384615384615
"123","ATL",33.6366996765137,-84.4281005859375,"BOS",42.36429977,-71.00520325,14.5098039215686
"124","ATL",33.6366996765137,-84.4281005859375,"BQK",31.2588005065918,-81.4664993286133,8.97435897435897
"125","ATL",33.6366996765137,-84.4281005859375,"BTR",30.53319931,-91.14959717,16.504854368932
"126","ATL",33.6366996765137,-84.4281005859375,"BTV",44.4719009399,-73.1532974243,20.8333333333333
"127","ATL",33.6366996765137,-84.4281005859375,"BUF",42.94049835,-78.73220062,6.2015503875969
"128","ATL",33.6366996765137,-84.4281005859375,"BWI",39.17539978,-76.66829681,7.46561886051081
"129","ATL",33.6366996765137,-84.4281005859375,"CAE",33.9388008117676,-81.119499206543,17.4603174603175
"130","ATL",33.6366996765137,-84.4281005859375,"CAK",40.9160995483398,-81.4421997070312,13.7071651090343
"131","ATL",33.6366996765137,-84.4281005859375,"CHA",35.0353012084961,-85.2037963867188,12.6903553299492
"132","ATL",33.6366996765137,-84.4281005859375,"CHO",38.138599395752,-78.4529037475586,10
"133","ATL",33.6366996765137,-84.4281005859375,"CHS",32.89860153,-80.04049683,9.47368421052632
"134","ATL",33.6366996765137,-84.4281005859375,"CID",41.8847007751465,-91.7108001708984,3.33333333333333
"135","ATL",33.6366996765137,-84.4281005859375,"CLE",41.4117012024,-81.8498001099,20.6896551724138
"136","ATL",33.6366996765137,-84.4281005859375,"CLT",35.2140007019043,-80.9430999755859,9.82658959537572
"137","ATL",33.6366996765137,-84.4281005859375,"CMH",39.9980010986328,-82.8918991088867,10.3092783505155
"138","ATL",33.6366996765137,-84.4281005859375,"COS",38.805801391602,-104.70099639893,12.9032258064516
"139","ATL",33.6366996765137,-84.4281005859375,"CRW",38.3731002807617,-81.5932006835938,10
"140","ATL",33.6366996765137,-84.4281005859375,"CSG",32.516300201416,-84.9389038085938,6.25
"141","ATL",33.6366996765137,-84.4281005859375,"CVG",39.0488014221,-84.6678009033,7.9295154185022
"142","ATL",33.6366996765137,-84.4281005859375,"DAB",29.179899,-81.058098,19.7278911564626
"143","ATL",33.6366996765137,-84.4281005859375,"DAY",39.902400970459,-84.2193984985352,9.78835978835979
"144","ATL",33.6366996765137,-84.4281005859375,"DCA",38.8521,-77.037697,8.48896434634974
"145","ATL",33.6366996765137,-84.4281005859375,"DEN",39.861698150635,-104.672996521,9.17647058823529
"146","ATL",33.6366996765137,-84.4281005859375,"DFW",32.896800994873,-97.0380020141602,8.27160493827161
"147","ATL",33.6366996765137,-84.4281005859375,"DHN",31.3213005065918,-85.4496002197266,8.62068965517241
"148","ATL",33.6366996765137,-84.4281005859375,"DSM",41.5340003967285,-93.6631011962891,6.97674418604651
"149","ATL",33.6366996765137,-84.4281005859375,"DTW",42.2123985290527,-83.353401184082,7.95698924731183
"150","ATL",33.6366996765137,-84.4281005859375,"ELP",31.80719948,-106.3779984,8.92857142857143
"151","ATL",33.6366996765137,-84.4281005859375,"EVV",38.0369987488,-87.5324020386,16.2790697674419
"152","ATL",33.6366996765137,-84.4281005859375,"EWN",35.0730018616,-77.0429000854,13.3333333333333
"153","ATL",33.6366996765137,-84.4281005859375,"EWR",40.6925010681152,-74.168701171875,16.4852255054432
"154","ATL",33.6366996765137,-84.4281005859375,"EYW",24.5561008453369,-81.7595977783203,17.3076923076923
"155","ATL",33.6366996765137,-84.4281005859375,"FAY",34.9911994934082,-78.8803024291992,13.4328358208955
"156","ATL",33.6366996765137,-84.4281005859375,"FCA",48.3105010986328,-114.255996704102,50
"157","ATL",33.6366996765137,-84.4281005859375,"FLL",26.0725994110107,-80.152702331543,9.80392156862745
"158","ATL",33.6366996765137,-84.4281005859375,"FLO",34.1853981018066,-79.7238998413086,15.3846153846154
"159","ATL",33.6366996765137,-84.4281005859375,"FNT",42.9654006958008,-83.7435989379883,11.063829787234
"160","ATL",33.6366996765137,-84.4281005859375,"FSM",35.3366012573242,-94.3674011230469,13.4615384615385
"161","ATL",33.6366996765137,-84.4281005859375,"FWA",40.97850037,-85.19509888,11.2359550561798
"162","ATL",33.6366996765137,-84.4281005859375,"GNV",29.6900997162,-82.2717971802,10.5263157894737
"163","ATL",33.6366996765137,-84.4281005859375,"GPT",30.4073009490967,-89.0700988769531,9.50570342205323
"164","ATL",33.6366996765137,-84.4281005859375,"GRK",31.067199707,-97.8289031982,12.5
"165","ATL",33.6366996765137,-84.4281005859375,"GRR",42.88079834,-85.52279663,15.1785714285714
"166","ATL",33.6366996765137,-84.4281005859375,"GSO",36.0978012084961,-79.9373016357422,12.5
"167","ATL",33.6366996765137,-84.4281005859375,"GSP",34.8956985474,-82.2189025879,15
"168","ATL",33.6366996765137,-84.4281005859375,"GTR",33.4502983093,-88.5914001465,8.53658536585366
"169","ATL",33.6366996765137,-84.4281005859375,"HHH",32.2243995667,-80.6975021362,13.3333333333333
"170","ATL",33.6366996765137,-84.4281005859375,"HNL",21.3187007904053,-157.921997070312,14.2857142857143
"171","ATL",33.6366996765137,-84.4281005859375,"HOU",29.64539909,-95.27890015,7.07964601769912
"172","ATL",33.6366996765137,-84.4281005859375,"HPN",41.0670013427734,-73.7076034545898,6.41025641025641
"173","ATL",33.6366996765137,-84.4281005859375,"HSV",34.637199401855,-86.775100708008,12.9411764705882
"174","ATL",33.6366996765137,-84.4281005859375,"IAD",38.94449997,-77.45580292,8.72340425531915
"175","ATL",33.6366996765137,-84.4281005859375,"IAH",29.9843997955322,-95.3414001464844,5
"176","ATL",33.6366996765137,-84.4281005859375,"ICT",37.6498985290527,-97.4330978393555,12.5954198473282
"177","ATL",33.6366996765137,-84.4281005859375,"ILM",34.2705993652344,-77.9026031494141,15.9090909090909
"178","ATL",33.6366996765137,-84.4281005859375,"IND",39.7173,-86.294403,8.86524822695035
"180","ATL",33.6366996765137,-84.4281005859375,"JAN",32.3111991882,-90.0758972168,11.8483412322275
"181","ATL",33.6366996765137,-84.4281005859375,"JAX",30.4941005706787,-81.6878967285156,7.81609195402299
"182","ATL",33.6366996765137,-84.4281005859375,"JFK",40.63980103,-73.77890015,46.4516129032258
"183","ATL",33.6366996765137,-84.4281005859375,"LAS",36.08010101,-115.1520004,7.65171503957784
"184","ATL",33.6366996765137,-84.4281005859375,"LAW",34.5676994324,-98.4166030884,4.16666666666667
"185","ATL",33.6366996765137,-84.4281005859375,"LAX",33.94250107,-118.4079971,8.65384615384615
"186","ATL",33.6366996765137,-84.4281005859375,"LEX",38.0364990234375,-84.6059036254883,12.9807692307692
"187","ATL",33.6366996765137,-84.4281005859375,"LFT",30.20529938,-91.98760223,10.2564102564103
"188","ATL",33.6366996765137,-84.4281005859375,"LGA",40.77719879,-73.87259674,15.5920281359906
"189","ATL",33.6366996765137,-84.4281005859375,"LIT",34.7294006348,-92.2242965698,18.5567010309278
"190","ATL",33.6366996765137,-84.4281005859375,"LWB",37.8582992554,-80.3994979858,20
"191","ATL",33.6366996765137,-84.4281005859375,"LYH",37.3266983032227,-79.2004013061523,4.16666666666667
"192","ATL",33.6366996765137,-84.4281005859375,"MCI",39.2976,-94.713898,7.47126436781609
"193","ATL",33.6366996765137,-84.4281005859375,"MCN",32.692798614502,-83.6492004394531,6.66666666666667
"194","ATL",33.6366996765137,-84.4281005859375,"MCO",28.4293994903564,-81.3089981079102,8.01576872536137
"195","ATL",33.6366996765137,-84.4281005859375,"MDT",40.1935005188,-76.7633972168,10.2564102564103
"196","ATL",33.6366996765137,-84.4281005859375,"MDW",41.7859992980957,-87.7524032592773,9.3984962406015
"197","ATL",33.6366996765137,-84.4281005859375,"MEI",32.3325996398926,-88.7518997192383,10.7142857142857
"198","ATL",33.6366996765137,-84.4281005859375,"MEM",35.0424003601074,-89.9766998291016,8.22942643391521
"199","ATL",33.6366996765137,-84.4281005859375,"MGM",32.30059814,-86.39399719,13.3663366336634
"200","ATL",33.6366996765137,-84.4281005859375,"MHT",42.9325981140137,-71.4356994628906,22.5806451612903
"201","ATL",33.6366996765137,-84.4281005859375,"MIA",25.7931995391846,-80.2906036376953,5.92734225621415
"202","ATL",33.6366996765137,-84.4281005859375,"MKE",42.9472007751465,-87.896598815918,12.280701754386
"203","ATL",33.6366996765137,-84.4281005859375,"MLB",28.1028003692627,-80.6453018188477,18.1208053691275
"204","ATL",33.6366996765137,-84.4281005859375,"MLI",41.4485015869141,-90.5074996948242,13.0434782608696
"205","ATL",33.6366996765137,-84.4281005859375,"MLU",32.5108985900879,-92.0376968383789,12.8205128205128
"206","ATL",33.6366996765137,-84.4281005859375,"MOB",30.691200256348,-88.242797851562,10.9452736318408
"207","ATL",33.6366996765137,-84.4281005859375,"MSN",43.1399002075195,-89.3375015258789,10
"208","ATL",33.6366996765137,-84.4281005859375,"MSP",44.8819999695,-93.2218017578,12.6315789473684
"209","ATL",33.6366996765137,-84.4281005859375,"MSY",29.9934005737305,-90.2580032348633,8.26210826210826
"210","ATL",33.6366996765137,-84.4281005859375,"MYR",33.6796989441,-78.9282989502,25.3521126760563
"211","ATL",33.6366996765137,-84.4281005859375,"OAJ",34.8292007446,-77.6120986938,11.7117117117117
"212","ATL",33.6366996765137,-84.4281005859375,"OKC",35.3931007385254,-97.600700378418,22.289156626506
"213","ATL",33.6366996765137,-84.4281005859375,"OMA",41.3031997680664,-95.8940963745117,10.5263157894737
"214","ATL",33.6366996765137,-84.4281005859375,"ONT",34.0559997558594,-117.600997924805,14.2857142857143
"215","ATL",33.6366996765137,-84.4281005859375,"ORD",41.97859955,-87.90480042,17.1521035598706
"216","ATL",33.6366996765137,-84.4281005859375,"ORF",36.8945999145508,-76.2012023925781,13.4615384615385
"217","ATL",33.6366996765137,-84.4281005859375,"PBI",26.6832008361816,-80.0955963134766,8.30769230769231
"218","ATL",33.6366996765137,-84.4281005859375,"PDX",45.58869934,-122.5979996,7.2289156626506
"219","ATL",33.6366996765137,-84.4281005859375,"PFN",30.212099,-85.6828,16.8269230769231
"220","ATL",33.6366996765137,-84.4281005859375,"PHF",37.13190079,-76.49299622,13.7071651090343
"221","ATL",33.6366996765137,-84.4281005859375,"PHL",39.871898651123,-75.241096496582,18.696397941681
"222","ATL",33.6366996765137,-84.4281005859375,"PHX",33.4342994689941,-112.012001037598,9.23076923076923
"224","ATL",33.6366996765137,-84.4281005859375,"PIT",40.49150085,-80.23290253,8.49315068493151
"225","ATL",33.6366996765137,-84.4281005859375,"PNS",30.473400115967,-87.186599731445,6.82492581602374
"226","ATL",33.6366996765137,-84.4281005859375,"PVD",41.7326011657715,-71.4204025268555,20.6896551724138
"227","ATL",33.6366996765137,-84.4281005859375,"PWM",43.64619827,-70.30930328,11.4754098360656
"228","ATL",33.6366996765137,-84.4281005859375,"RDU",35.8776016235352,-78.7874984741211,7.77537796976242
"229","ATL",33.6366996765137,-84.4281005859375,"RIC",37.505199432373,-77.3197021484375,4.76190476190476
"230","ATL",33.6366996765137,-84.4281005859375,"ROA",37.3255004883,-79.975402832,9.15492957746479
"231","ATL",33.6366996765137,-84.4281005859375,"ROC",43.1189002990723,-77.6724014282227,12.5
"232","ATL",33.6366996765137,-84.4281005859375,"RSW",26.5361995697021,-81.7552032470703,7.93650793650794
"233","ATL",33.6366996765137,-84.4281005859375,"SAN",32.7336006165,-117.190002441,6.88073394495413
"234","ATL",33.6366996765137,-84.4281005859375,"SAT",29.5337009429932,-98.4698028564453,13.5646687697161
"235","ATL",33.6366996765137,-84.4281005859375,"SAV",32.12760162,-81.20210266,8.49056603773585
"236","ATL",33.6366996765137,-84.4281005859375,"SBN",41.7086982727051,-86.3172988891602,11.6279069767442
"237","ATL",33.6366996765137,-84.4281005859375,"SDF",38.1744,-85.736,9.30232558139535
"238","ATL",33.6366996765137,-84.4281005859375,"SEA",47.4490013122559,-122.30899810791,10.727969348659
"239","ATL",33.6366996765137,-84.4281005859375,"SFO",37.6189994812012,-122.375,9.52380952380952
"240","ATL",33.6366996765137,-84.4281005859375,"SGF",37.24570084,-93.38860321,7.82608695652174
"241","ATL",33.6366996765137,-84.4281005859375,"SHV",32.4466018676758,-93.8255996704102,8.7248322147651
"242","ATL",33.6366996765137,-84.4281005859375,"SJC",37.3625984191895,-121.929000854492,13.4615384615385
"243","ATL",33.6366996765137,-84.4281005859375,"SJU",18.4393997192,-66.0018005371,8
"244","ATL",33.6366996765137,-84.4281005859375,"SLC",40.7883987426758,-111.977996826172,9.00473933649289
"245","ATL",33.6366996765137,-84.4281005859375,"SMF",38.6954002380371,-121.591003417969,8.92857142857143
"246","ATL",33.6366996765137,-84.4281005859375,"SNA",33.67570114,-117.8679962,13.6
"247","ATL",33.6366996765137,-84.4281005859375,"SRQ",27.3953990936279,-82.5543975830078,7.63358778625954
"248","ATL",33.6366996765137,-84.4281005859375,"STL",38.7486991882324,-90.370002746582,9.62732919254658
"249","ATL",33.6366996765137,-84.4281005859375,"STT",18.3372993469238,-64.9733963012695,4.76190476190476
"250","ATL",33.6366996765137,-84.4281005859375,"STX",17.7019004821777,-64.7985992431641,25
"251","ATL",33.6366996765137,-84.4281005859375,"SWF",41.5041007995605,-74.1047973632812,16.4179104477612
"252","ATL",33.6366996765137,-84.4281005859375,"SYR",43.111198425293,-76.1063003540039,13.3928571428571
"253","ATL",33.6366996765137,-84.4281005859375,"TLH",30.3964996337891,-84.3503036499023,6.84931506849315
"254","ATL",33.6366996765137,-84.4281005859375,"TPA",27.9755001068115,-82.533203125,7.94223826714801
"255","ATL",33.6366996765137,-84.4281005859375,"TRI",36.4752006530762,-82.4074020385742,11.9718309859155
"256","ATL",33.6366996765137,-84.4281005859375,"TUL",36.1983985900879,-95.8880996704102,15.7232704402516
"257","ATL",33.6366996765137,-84.4281005859375,"TUS",32.1161003112793,-110.94100189209,9.61538461538462
"258","ATL",33.6366996765137,-84.4281005859375,"TYS",35.81100082,-83.9940033,12.565445026178
"259","ATL",33.6366996765137,-84.4281005859375,"VLD",30.7824993133545,-83.2767028808594,8.64197530864197
"260","ATL",33.6366996765137,-84.4281005859375,"VPS",30.4832,-86.525398,16.4556962025316
"261","ATL",33.6366996765137,-84.4281005859375,"XNA",36.281898,-94.306801,13.3802816901408
"262","ATW",44.2580986023,-88.5190963745,"ATL",33.6366996765137,-84.4281005859375,7.69230769230769
"264","ATW",44.2580986023,-88.5190963745,"DTW",42.2123985290527,-83.353401184082,5.40540540540541
"265","ATW",44.2580986023,-88.5190963745,"MKE",42.9472007751465,-87.896598815918,5.61797752808989
"266","ATW",44.2580986023,-88.5190963745,"ORD",41.97859955,-87.90480042,16.580310880829
"268","AUS",30.1944999694824,-97.6698989868164,"ATL",33.6366996765137,-84.4281005859375,6.5989847715736
"269","AUS",30.1944999694824,-97.6698989868164,"BNA",36.1245002746582,-86.6781997680664,7.14285714285714
"270","AUS",30.1944999694824,-97.6698989868164,"BOS",42.36429977,-71.00520325,3.33333333333333
"271","AUS",30.1944999694824,-97.6698989868164,"BWI",39.17539978,-76.66829681,1.66666666666667
"272","AUS",30.1944999694824,-97.6698989868164,"CLE",41.4117012024,-81.8498001099,25
"273","AUS",30.1944999694824,-97.6698989868164,"CLT",35.2140007019043,-80.9430999755859,4.44444444444444
"274","AUS",30.1944999694824,-97.6698989868164,"CVG",39.0488014221,-84.6678009033,16.1290322580645
"275","AUS",30.1944999694824,-97.6698989868164,"DAL",32.8470993041992,-96.8517990112305,9.16905444126074
"276","AUS",30.1944999694824,-97.6698989868164,"DEN",39.861698150635,-104.672996521,8.33333333333333
"277","AUS",30.1944999694824,-97.6698989868164,"DFW",32.896800994873,-97.0380020141602,5.48523206751055
"278","AUS",30.1944999694824,-97.6698989868164,"ELP",31.80719948,-106.3779984,11.214953271028
"279","AUS",30.1944999694824,-97.6698989868164,"EWR",40.6925010681152,-74.168701171875,21.7948717948718
"280","AUS",30.1944999694824,-97.6698989868164,"FLL",26.0725994110107,-80.152702331543,3.33333333333333
"281","AUS",30.1944999694824,-97.6698989868164,"HOU",29.64539909,-95.27890015,7.85340314136126
"282","AUS",30.1944999694824,-97.6698989868164,"HRL",26.2285003662109,-97.6544036865234,12.9032258064516
"283","AUS",30.1944999694824,-97.6698989868164,"IAD",38.94449997,-77.45580292,12.5
"284","AUS",30.1944999694824,-97.6698989868164,"IAH",29.9843997955322,-95.3414001464844,4.37710437710438
"285","AUS",30.1944999694824,-97.6698989868164,"IND",39.7173,-86.294403,9.09090909090909
"286","AUS",30.1944999694824,-97.6698989868164,"JFK",40.63980103,-73.77890015,18.348623853211
