"","from","from.lat","from.lon","to","to.lat","to.lon","percent"
"1","ABE",40.652099609375,-75.440803527832,"ATL",33.6366996765137,-84.4281005859375,17.9487179487179
"2","ABE",40.652099609375,-75.440803527832,"CLE",41.4117012024,-81.8498001099,8
"4","ABE",40.652099609375,-75.440803527832,"CVG",39.0488014221,-84.6678009033,3.84615384615385
"5","ABE",40.652099609375,-75.440803527832,"DTW",42.2123985290527,-83.353401184082,17.6470588235294
"7","ABE",40.652099609375,-75.440803527832,"ORD",41.97859955,-87.90480042,28.2051282051282
"8","ABI",32.4113006592,-99.6819000244,"DFW",32.896800994873,-97.0380020141602,14.1666666666667
"9","ABQ",35.0401992797852,-106.609001159668,"AMA",35.2193984985352,-101.706001281738,38.7096774193548
"10","ABQ",35.0401992797852,-106.609001159668,"ATL",33.6366996765137,-84.4281005859375,9.89010989010989
"11","ABQ",35.0401992797852,-106.609001159668,"AUS",30.1944999694824,-97.6698989868164,3.44827586206897
"13","ABQ",35.0401992797852,-106.609001159668,"CVG",39.0488014221,-84.6678009033,3.7037037037037
"14","ABQ",35.0401992797852,-106.609001159668,"DAL",32.8470993041992,-96.8517990112305,19.3798449612403
"15","ABQ",35.0401992797852,-106.609001159668,"DEN",39.861698150635,-104.672996521,15.6378600823045
"16","ABQ",35.0401992797852,-106.609001159668,"DFW",32.896800994873,-97.0380020141602,11.0655737704918
"17","ABQ",35.0401992797852,-106.609001159668,"ELP",31.80719948,-106.3779984,13.4146341463415
"18","ABQ",35.0401992797852,-106.609001159668,"EWR",40.6925010681152,-74.168701171875,25
"19","ABQ",35.0401992797852,-106.609001159668,"HOU",29.64539909,-95.27890015,16.8674698795181
"20","ABQ",35.0401992797852,-106.609001159668,"IAD",38.94449997,-77.45580292,12.9032258064516
"21","ABQ",35.0401992797852,-106.609001159668,"IAH",29.9843997955322,-95.3414001464844,15.3846153846154
"22","ABQ",35.0401992797852,-106.609001159668,"LAS",36.08010101,-115.1520004,22.7722772277228
"23","ABQ",35.0401992797852,-106.609001159668,"LAX",33.94250107,-118.4079971,20.873786407767
"24","ABQ",35.0401992797852,-106.609001159668,"LBB",33.6636009216309,-101.822998046875,32.258064516129
"25","ABQ",35.0401992797852,-106.609001159668,"MAF",31.9424991607666,-102.202003479004,32.258064516129
"26","ABQ",35.0401992797852,-106.609001159668,"MCI",39.2976,-94.713898,20
"27","ABQ",35.0401992797852,-106.609001159668,"MCO",28.4293994903564,-81.3089981079102,12.9032258064516
"28","ABQ",35.0401992797852,-106.609001159668,"MDW",41.7859992980957,-87.7524032592773,11.2903225806452
"29","ABQ",35.0401992797852,-106.609001159668,"MSP",44.8819999695,-93.2218017578,13.5135135135135
"30","ABQ",35.0401992797852,-106.609001159668,"OAK",37.7212982177734,-122.221000671387,17.4418604651163
"31","ABQ",35.0401992797852,-106.609001159668,"OKC",35.3931007385254,-97.600700378418,25.8064516129032
"32","ABQ",35.0401992797852,-106.609001159668,"ONT",34.0559997558594,-117.600997924805,8.62068965517241
"33","ABQ",35.0401992797852,-106.609001159668,"ORD",41.97859955,-87.90480042,35.4838709677419
"34","ABQ",35.0401992797852,-106.609001159668,"PDX",45.58869934,-122.5979996,32.258064516129
"35","ABQ",35.0401992797852,-106.609001159668,"PHX",33.4342994689941,-112.012001037598,16.875
"36","ABQ",35.0401992797852,-106.609001159668,"SAN",32.7336006165,-117.190002441,18.4782608695652
"37","ABQ",35.0401992797852,-106.609001159668,"SAT",29.5337009429932,-98.4698028564453,10.1694915254237
"38","ABQ",35.0401992797852,-106.609001159668,"SEA",47.4490013122559,-122.30899810791,21.3114754098361
"39","ABQ",35.0401992797852,-106.609001159668,"SFO",37.6189994812012,-122.375,16.2162162162162
"40","ABQ",35.0401992797852,-106.609001159668,"SLC",40.7883987426758,-111.977996826172,10.7692307692308
"41","ABQ",35.0401992797852,-106.609001159668,"SMF",38.6954002380371,-121.591003417969,8.19672131147541
"42","ABQ",35.0401992797852,-106.609001159668,"STL",38.7486991882324,-90.370002746582,9.67741935483871
"43","ABQ",35.0401992797852,-106.609001159668,"TPA",27.9755001068115,-82.533203125,19.3548387096774
"44","ABQ",35.0401992797852,-106.609001159668,"TUL",36.1983985900879,-95.8880996704102,12.5
"45","ABQ",35.0401992797852,-106.609001159668,"TUS",32.1161003112793,-110.94100189209,19.047619047619
"46","ABY",31.5354995727539,-84.1945037841797,"ATL",33.6366996765137,-84.4281005859375,20.5882352941176
"47","ACT",31.6112995147705,-97.2304992675781,"DFW",32.896800994873,-97.0380020141602,16.2679425837321
"48","ACV",40.978099822998,-124.109001159668,"CEC",41.78020096,-124.2369995,6.66666666666667
"49","ACV",40.978099822998,-124.109001159668,"MRY",36.5870018005371,-121.843002319336,50
"50","ACV",40.978099822998,-124.109001159668,"SFO",37.6189994812012,-122.375,41.6666666666667
"51","ACV",40.978099822998,-124.109001159668,"SJC",37.3625984191895,-121.929000854492,100
"52","ACV",40.978099822998,-124.109001159668,"SMF",38.6954002380371,-121.591003417969,21.1538461538462
"53","ACY",39.4575996398926,-74.5772018432617,"ATL",33.6366996765137,-84.4281005859375,6.66666666666667
